accumulation.total_token_count: shape=(), dtype=int64 | dimensions: scalar
optimizer.step.blocks.0.qkv.bias: shape=(), dtype=float32 | dimensions: scalar optimizer step
optimizer.exp_avg.blocks.0.qkv.bias: shape=(192,), dtype=float32 | dimensions: output channel
optimizer.exp_avg_sq.blocks.0.qkv.bias: shape=(192,), dtype=float32 | dimensions: output channel
parameter.blocks.0.attn_out.weight: shape=(64, 64), dtype=float32 | dimensions: output channel, input channel
gradient.blocks.0.attn_out.weight: shape=(64, 64), dtype=float32 | dimensions: output channel, input channel
optimizer.step.blocks.0.attn_out.weight: shape=(), dtype=float32 | dimensions: scalar optimizer step
optimizer.exp_avg.blocks.0.attn_out.weight: shape=(64, 64), dtype=float32 | dimensions: output channel, input channel
optimizer.exp_avg_sq.blocks.0.attn_out.weight: shape=(64, 64), dtype=float32 | dimensions: output channel, input channel
parameter.blocks.0.attn_out.bias: shape=(64,), dtype=float32 | dimensions: output channel
gradient.blocks.0.attn_out.bias: shape=(64,), dtype=float32 | dimensions: output channel
optimizer.step.blocks.0.attn_out.bias: shape=(), dtype=float32 | dimensions: scalar optimizer step
optimizer.exp_avg.blocks.0.attn_out.bias: shape=(64,), dtype=float32 | dimensions: output channel
optimizer.exp_avg_sq.blocks.0.attn_out.bias: shape=(64,), dtype=float32 | dimensions: output channel
parameter.blocks.0.ln2.weight: shape=(64,), dtype=float32 | dimensions: model channel
gradient.blocks.0.ln2.weight: shape=(64,), dtype=float32 | dimensions: model channel
optimizer.step.blocks.0.ln2.weight: shape=(), dtype=float32 | dimensions: scalar optimizer step
optimizer.exp_avg.blocks.0.ln2.weight: shape=(64,), dtype=float32 | dimensions: model channel
optimizer.exp_avg_sq.blocks.0.ln2.weight: shape=(64,), dtype=float32 | dimensions: model channel
parameter.blocks.0.ln2.bias: shape=(64,), dtype=float32 | dimensions: output channel
gradient.blocks.0.ln2.bias: shape=(64,), dtype=float32 | dimensions: output channel
optimizer.step.blocks.0.ln2.bias: shape=(), dtype=float32 | dimensions: scalar optimizer step
optimizer.exp_avg.blocks.0.ln2.bias: shape=(64,), dtype=float32 | dimensions: output channel
optimizer.exp_avg_sq.blocks.0.ln2.bias: shape=(64,), dtype=float32 | dimensions: output channel
parameter.blocks.0.mlp_up.weight: shape=(256, 64), dtype=float32 | dimensions: output channel, input channel
gradient.blocks.0.mlp_up.weight: shape=(256, 64), dtype=float32 | dimensions: output channel, input channel
optimizer.step.blocks.0.mlp_up.weight: shape=(), dtype=float32 | dimensions: scalar optimizer step
optimizer.exp_avg.blocks.0.mlp_up.weight: shape=(256, 64), dtype=float32 | dimensions: output channel, input channel
optimizer.exp_avg_sq.blocks.0.mlp_up.weight: shape=(256, 64), dtype=float32 | dimensions: output channel, input channel
parameter.blocks.0.mlp_up.bias: shape=(256,), dtype=float32 | dimensions: output channel
gradient.blocks.0.mlp_up.bias: shape=(256,), dtype=float32 | dimensions: output channel
optimizer.step.blocks.0.mlp_up.bias: shape=(), dtype=float32 | dimensions: scalar optimizer step
optimizer.exp_avg.blocks.0.mlp_up.bias: shape=(256,), dtype=float32 | dimensions: output channel
optimizer.exp_avg_sq.blocks.0.mlp_up.bias: shape=(256,), dtype=float32 | dimensions: output channel
parameter.blocks.0.mlp_down.weight: shape=(64, 256), dtype=float32 | dimensions: output channel, input channel
gradient.blocks.0.mlp_down.weight: shape=(64, 256), dtype=float32 | dimensions: output channel, input channel
optimizer.step.blocks.0.mlp_down.weight: shape=(), dtype=float32 | dimensions: scalar optimizer step
optimizer.exp_avg.blocks.0.mlp_down.weight: shape=(64, 256), dtype=float32 | dimensions: output channel, input channel
optimizer.exp_avg_sq.blocks.0.mlp_down.weight: shape=(64, 256), dtype=float32 | dimensions: output channel, input channel
parameter.blocks.0.mlp_down.bias: shape=(64,), dtype=float32 | dimensions: output channel
gradient.blocks.0.mlp_down.bias: shape=(64,), dtype=float32 | dimensions: output channel
optimizer.step.blocks.0.mlp_down.bias: shape=(), dtype=float32 | dimensions: scalar optimizer step
optimizer.exp_avg.blocks.0.mlp_down.bias: shape=(64,), dtype=float32 | dimensions: output channel
optimizer.exp_avg_sq.blocks.0.mlp_down.bias: shape=(64,), dtype=float32 | dimensions: output channel
parameter.blocks.1.ln1.weight: shape=(64,), dtype=float32 | dimensions: model channel
gradient.blocks.1.ln1.weight: shape=(64,), dtype=float32 | dimensions: model channel
optimizer.step.blocks.1.ln1.weight: shape=(), dtype=float32 | dimensions: scalar optimizer step
optimizer.exp_avg.blocks.1.ln1.weight: shape=(64,), dtype=float32 | dimensions: model channel
optimizer.exp_avg_sq.blocks.1.ln1.weight: shape=(64,), dtype=float32 | dimensions: model channel
parameter.blocks.1.ln1.bias: shape=(64,), dtype=float32 | dimensions: output channel
gradient.blocks.1.ln1.bias: shape=(64,), dtype=float32 | dimensions: output channel
optimizer.step.blocks.1.ln1.bias: shape=(), dtype=float32 | dimensions: scalar optimizer step
optimizer.exp_avg.blocks.1.ln1.bias: shape=(64,), dtype=float32 | dimensions: output channel
optimizer.exp_avg_sq.blocks.1.ln1.bias: shape=(64,), dtype=float32 | dimensions: output channel
parameter.blocks.1.qkv.weight: shape=(192, 64), dtype=float32 | dimensions: output channel, input channel
gradient.blocks.1.qkv.weight: shape=(192, 64), dtype=float32 | dimensions: output channel, input channel
optimizer.step.blocks.1.qkv.weight: shape=(), dtype=float32 | dimensions: scalar optimizer step
optimizer.exp_avg.blocks.1.qkv.weight: shape=(192, 64), dtype=float32 | dimensions: output channel, input channel
