condition,step,layer,seeds,mean_update_to_weight_ratio,std_update_to_weight_ratio,mean_gradient_norm,std_gradient_norm
no_warmup,40,hidden_norm,5,0.0001012996905333829,4.636051811353341e-06,0.11341524353545351,0.008101754986149705
no_warmup,40,input,5,0.00040703278613015597,7.564366828677069e-06,0.6472408905868245,0.03555620293039466
no_warmup,40,output,5,0.0012333020653621525,2.5113116753244772e-05,1.58412245122453,0.056945914341707204
no_warmup,40,output_norm,5,9.900453585507596e-05,5.698058324230328e-06,0.13767948913793285,0.011560070963413658
no_warmup,41,hidden,5,0.0011207409983205493,1.2690051209524794e-05,1.2063425305912836,0.010375308000622417
no_warmup,41,hidden_norm,5,0.00010118487065374731,4.371027573120872e-06,0.1080123818136548,0.0059256129649568855
no_warmup,41,input,5,0.00040600973403651775,9.513601907379516e-06,0.6459704043710378,0.02512784568334003
no_warmup,41,output,5,0.0012303337815405232,2.8596533435492937e-05,1.573402492003282,0.018365506581758756
no_warmup,41,output_norm,5,9.905403501249634e-05,6.449503989909749e-06,0.13181804239744266,0.006688789066626569
no_warmup,42,hidden,5,0.0011182349669896815,1.2063239599454385e-05,1.1955162698192743,0.03580452067001522
no_warmup,42,hidden_norm,5,0.00010096892933308098,4.722951441786646e-06,0.10839664202465786,0.0038767698344176027
no_warmup,42,input,5,0.0004055781866509907,1.0526916052175952e-05,0.654201371331605,0.025125756915098458
no_warmup,42,output,5,0.0012249798453597466,2.9269615861653325e-05,1.539200260427752,0.04161730975750075
no_warmup,42,output_norm,5,9.891491746354336e-05,9.436260007496188e-06,0.1343632575051097,0.005711197101877001
no_warmup,43,hidden,5,0.0011123161438124543,1.3973688024206235e-05,1.1909816059102443,0.031089707486200262
no_warmup,43,hidden_norm,5,0.0001002109241276155,4.50227850723981e-06,0.10672057473500482,0.005505159415212645
no_warmup,43,input,5,0.0004035551516516761,9.180623715157001e-06,0.6462856319511978,0.019026893482893995
no_warmup,43,output,5,0.0012219180598567144,2.930252680862993e-05,1.5867651920446688,0.0653715490001877
no_warmup,43,output_norm,5,9.812736124107176e-05,8.388073080847936e-06,0.13209141746556563,0.013055460897080803
no_warmup,44,hidden,5,0.0011067188344396231,1.4146257616634386e-05,1.1642292798117309,0.036175944970680926
no_warmup,44,hidden_norm,5,9.957710583259121e-05,5.26593771579151e-06,0.10525650401830491,0.006552367056228443
no_warmup,44,input,5,0.00040216026800505515,8.411887682415019e-06,0.6460960806490683,0.02893247182229102
no_warmup,44,output,5,0.0012166529679745507,2.279919759633752e-05,1.542855669810871,0.037311461312859735
no_warmup,44,output_norm,5,9.780048682263122e-05,6.506139398635282e-06,0.1325754825720249,0.005981036776136274
no_warmup,45,hidden,5,0.0010977490668238402,2.001232466294139e-05,1.1617856282516883,0.053175836700730165
no_warmup,45,hidden_norm,5,9.869140697439977e-05,6.197509470067715e-06,0.10454172531075678,0.00779886117857782
no_warmup,45,input,5,0.000399417055935695,8.906138757465586e-06,0.6341604605131322,0.020652196240345113
no_warmup,45,output,5,0.0012079407334674255,2.9657345147228022e-05,1.5204463426801103,0.08765008406562298
